Yahoo_Sektor,Yahoo_Sektor_Key,Yahoo_Branche,Yahoo_Branche_Key
Technology,technology,Semiconductors,semiconductors
Technology,technology,Software - Infrastructure,software-infrastructure
Technology,technology,Consumer Electronics,consumer-electronics
Technology,technology,Software - Application,software-application
Technology,technology,Computer Hardware,computer-hardware
Technology,technology,Semiconductor Equipment & Materials,semiconductor-equipment-materials
Technology,technology,Communication Equipment,communication-equipment
Technology,technology,Information Technology Services,information-technology-services
Technology,technology,Electronic Components,electronic-components
Technology,technology,Scientific & Technical Instruments,scientific-technical-instruments
Technology,technology,Solar,solar
Technology,technology,Electronics & Computer Distribution,electronics-computer-distribution
Financial Services,financial-services,Banks - Diversified,banks-diversified
Financial Services,financial-services,Credit Services,credit-services
Financial Services,financial-services,Asset Management,asset-management
Financial Services,financial-services,Capital Markets,capital-markets
Financial Services,financial-services,Insurance - Diversified,insurance-diversified
Financial Services,financial-services,Banks - Regional,banks-regional
Financial Services,financial-services,Insurance - Property & Casualty,insurance-property-casualty
Financial Services,financial-services,Financial Data & Stock Exchanges,financial-data-stock-exchanges
Financial Services,financial-services,Insurance Brokers,insurance-brokers
Financial Services,financial-services,Insurance - Life,insurance-life
Financial Services,financial-services,Insurance - Specialty,insurance-specialty
Financial Services,financial-services,Mortgage Finance,mortgage-finance
Financial Services,financial-services,Insurance - Reinsurance,insurance-reinsurance
Financial Services,financial-services,Financial Conglomerates,financial-conglomerates
Financial Services,financial-services,Shell Companies,shell-companies
Real Estate,real-estate,REIT - Specialty,reit-specialty
Real Estate,real-estate,REIT - Industrial,reit-industrial
Real Estate,real-estate,REIT - Healthcare Facilities,reit-healthcare-facilities
Real Estate,real-estate,REIT - Retail,reit-retail
Real Estate,real-estate,REIT - Residential,reit-residential
Real Estate,real-estate,Real Estate Services,real-estate-services
Real Estate,real-estate,REIT - Mortgage,reit-mortgage
Real Estate,real-estate,REIT - Office,reit-office
Real Estate,real-estate,REIT - Diversified,reit-diversified
Real Estate,real-estate,REIT - Hotel & Motel,reit-hotel-motel
Real Estate,real-estate,Real Estate - Development,real-estate-development
Real Estate,real-estate,Real Estate - Diversified,real-estate-diversified
Utilities,utilities,Utilities - Regulated Electric,utilities-regulated-electric
Utilities,utilities,Utilities - Independent Power Producers,utilities-independent-power-producers
Utilities,utilities,Utilities - Diversified,utilities-diversified
Utilities,utilities,Utilities - Regulated Gas,utilities-regulated-gas
Utilities,utilities,Utilities - Renewable,utilities-renewable
Utilities,utilities,Utilities - Regulated Water,utilities-regulated-water
Industrials,industrials,Aerospace & Defense,aerospace-defense
Industrials,industrials,Specialty Industrial Machinery,specialty-industrial-machinery
Industrials,industrials,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery
Industrials,industrials,Railroads,railroads
Industrials,industrials,Engineering & Construction,engineering-construction
Industrials,industrials,Building Products & Equipment,building-products-equipment
Industrials,industrials,Electrical Equipment & Parts,electrical-equipment-parts
Industrials,industrials,Specialty Business Services,specialty-business-services
Industrials,industrials,Integrated Freight & Logistics,integrated-freight-logistics
Industrials,industrials,Industrial Distribution,industrial-distribution
Industrials,industrials,Waste Management,waste-management
Industrials,industrials,Conglomerates,conglomerates
Industrials,industrials,Rental & Leasing Services,rental-leasing-services
Industrials,industrials,Airlines,airlines
Industrials,industrials,Trucking,trucking
Industrials,industrials,Metal Fabrication,metal-fabrication
Industrials,industrials,Tools & Accessories,tools-accessories
Industrials,industrials,Consulting Services,consulting-services
Industrials,industrials,Security & Protection Services,security-protection-services
